Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL2337966,COc1ccc(C2=NN(CCCCOc3ccc(C4=NNC(=O)C4(C)C)c(F)c3)C(=O)CC2C)c2cc(C(F)(F)F)nn12,9.52
CHEMBL2337953,CCc1cc2c(C3=NN(CCCCOc4ccc(C5=NNC(=O)CC5C)cc4)C(=O)CC3C)ccc(OC)n2n1,8.77
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,7.6
CHEMBL42126,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,10.39
CHEMBL3694409,CC(C)OCCOc1nc(Oc2ccc3c(c2)COB3O)c(Cl)cc1C#N,8.28
CHEMBL3694411,COCC(COc1nc(Oc2ccc3c(c2)COB3O)c(Cl)cc1C#N)OC,7.64
CHEMBL4082038,O=C1NCCc2nc(-c3ccccc3)cc(NCCc3ccncc3)c21,7.92
CHEMBL1779425,,
CHEMBL1779435,CC(C)c1nn2cccc3c2c1C1=NNC(=O)CC1C3,4.41
CHEMBL4786766,OCCCNc1nccc2c1nc(-c1ccco1)n2C1CCCC1,4.72
CHEMBL2425757,COCc1cc2c(C(=O)Nc3c(Cl)c[n+]([O-])cc3Cl)ccc(OC)n2n1,7.3
CHEMBL2425749,CCc1cc2c(C(=O)Nc3c(Cl)cncc3Cl)ccc(OC)n2n1,8.15
CHEMBL2335414,COc1ccc(C2=NN(CCCCCNCC(O)c3ccc(O)c(CO)c3)C(=O)C3CCCCC23)cc1OC,6.57
CHEMBL2335413,COc1ccc(C2=NN(CCCCNCC(O)c3ccc(O)c(CO)c3)C(=O)C3CCCCC23)cc1OC,6.56
CHEMBL158982,CC(Cn1ccnc1O)c1ccc(OC(F)(F)F)c(OC2CCCC2)c1,
CHEMBL3393195,COc1cc2nncc(-c3cnc(N4CCC(O)(c5ccc(F)nc5)CC4)c(C)c3)c2cc1OC,4.51
CHEMBL3315269,CCc1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2cccc(Cl)c2)n1,6.11
CHEMBL3763456,COc1ccc(C2=NN(C3CCCCCC3)C(=O)[C@@H]3CC=CC[C@H]23)cc1OC,9.2
CHEMBL3763233,COc1ccc(C2=NN(C3CCCCCC3)C(=O)[C@@H]3CC=CC[C@H]23)cc1OCCCCOc1ccc(-c2nnnn2C)cc1,9.2
CHEMBL473355,COc1cccc(Nc2cc(C(N)=O)nc3ccc(S(C)(=O)=O)cc23)c1,5.1
CHEMBL3114941,O=C(O)Cc1ccc(Nc2nc(-c3ccc4ccccc4c3)nc3c2S(=O)(=O)CCC3)cc1,7.72
CHEMBL3114937,COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cn1,6.6
CHEMBL3114931,CN(C)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cn1,6.85
CHEMBL3114928,CN(C)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1,7.42
CHEMBL2172710,COc1ccc(/C=N/N(C)C(=O)c2ccc(O)cc2)cc1OC,7.33
CHEMBL4458210,CCc1cc(Cc2ccc(CCO)cc2)nc(-c2cccc(Cl)c2)n1,6.23
CHEMBL2440142,CC(C)(C)CNC(=O)Cc1ccc(Nc2nc(-c3cncnc3)ncc2C(N)=O)cc1,6.96
CHEMBL2442468,CCCNC(=O)Cc1ccc(Nc2nc(-c3ccccc3)ncc2C(N)=O)cc1,6.92
CHEMBL4301645,c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1,
CHEMBL350482,Oc1nccn1CC1(c2ccc(OC(F)F)c(OC3CCCC3)c2)CC1,7.41
CHEMBL3315246,Cc1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2ccc(Cl)s2)n1,5.89
CHEMBL3315250,O=C(O)Cc1ccc(Nc2nc(-c3ccc(Cl)s3)nc(C3CC3)n2)cc1,6.6
CHEMBL3315270,CCc1nc(Nc2ccc(C(=O)O)cc2)nc(-c2cccc(Cl)c2)n1,6.62
CHEMBL1946937,COc1ccc(C2=NNC(=O)CC2C)c2cc(C(F)(F)F)oc12,6.42
CHEMBL1788264,COc1ccc([C@H](C)Cn2ccnc2NC#N)cc1OC1Cc2ccccc2C1,7.24
CHEMBL430893,COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1,6.3
CHEMBL4087620,O=C(NC1CC1)c1cccc(-c2cccc(-c3cc(Nc4cncc5ccccc45)c4c(n3)CCNC4=O)c2)c1,9.49
CHEMBL4437670,CCc1cc(Nc2ccc(CCO)cc2)nc(-c2cccc(Cl)c2)n1,7.24
CHEMBL4593524,CCc1cc(Cc2ccc(CC(=O)NCCO)cc2)nc(-c2cccc(Cl)c2)n1,6.89
CHEMBL4091911,O=C(c1coc(-c2ccc(Cl)cc2)n1)n1cccn1,5.28
CHEMBL74078,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1,7.31
CHEMBL595745,CS(=O)(=O)c1ccc2c(c1)C(Nc1cncc(Cl)c1)=C(C(N)=O)NN2,9.1
CHEMBL3287987,Cc1cc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCCOCC4)c3)CC2)nn1C,11
CHEMBL3288007,CN(C)Cc1cc(O)ccc1-c1cccc(Oc2ncc(F)cc2C(=O)N[C@H]2CC[C@@H](NC(=O)c3cccc4ocnc34)CC2)c1,9.5
CHEMBL3288019,Cc1cccc2nc(C(=O)N[C@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN6CCCOCC6)cc5)c4)CC3)cn12,9.9
CHEMBL3288027,Cc1cc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CCCN5C[C@@H](C)N[C@@H](C)C5)cc4)c3)CC2)nn1C,10.7
CHEMBL463418,CS(=O)(=O)c1ccc2ncc(C(N)=O)c(Nc3cccc(C#N)c3)c2c1,7.7
CHEMBL517590,CS(=O)(=O)c1ccc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2c1,8.2
CHEMBL514301,CNC(=O)c1cnc2ccc(S(C)(=O)=O)cc2c1Nc1cccc(OC)c1,5.5
CHEMBL473764,COc1cc(Nc2c(C(N)=O)cnc3c(C)cc(S(C)(=O)=O)cc23)ccc1F,9.5
CHEMBL42126,,
CHEMBL2425767,COc1ccc(C(O)Cc2ccncc2)c2cc(C(F)(F)F)nn12,6.12
CHEMBL4092158,COc1cccc(Nc2cc(-c3cccc(-c4ccc(C(=O)O)cc4)c3)nc3c2C(=O)NCC3)c1,9.46
CHEMBL4094718,COC(=O)c1ccc(O)c(-c2cccc(-c3cc(Nc4cccc(OC)c4)c4c(n3)CCNC4=O)c2)c1,8.25
CHEMBL1946747,COc1ccc(C2=NNC(=O)CC2C)n2cc(C(F)(F)F)nc12,6.58
CHEMBL1946932,COc1ccc(C2=NNC(=O)CC2C)c2nc(C(F)(F)F)oc12,5.82
CHEMBL1946934,COc1ccc(C2=NNC(=O)CC2C)c2cc(C(F)(F)F)sc12,6.55
CHEMBL5306577,CCC[C@H]1CNCc2c1[nH]c(=O)c(C#N)c2N1CCC2(CC1)CC2,5.4
CHEMBL5880600,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC3(C(=O)OCC4CCN(C)CC4)CCc4ccccc43)s2)cc1OC,8.26
CHEMBL5281157,N#Cc1ccc(Oc2ccc3c(c2)COC3O)cc1,
CHEMBL6065832,O=C(c1nc2cccnn2c1-c1ccc2ccnn2c1)N1CCC1,7.38
CHEMBL5076445,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)OC[C@H]3CCN3C)c3ccccc3)s2)cc1OC,8.26
CHEMBL5850090,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2csc(CNC(C(=O)OCC3CCN(C)CC3)c3ccccc3)c2)cc1OC,
CHEMBL6057209,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(CO)(C(=O)OCC3CCN(C)CC3)c3cccs3)s2)cc1OC,
CHEMBL200906,CN1C(=O)C(C(=O)Nc2nncs2)c2cc3occc3cc21,
CHEMBL198527,CC(C)NC(=O)/C(=C/c1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,9.3
CHEMBL3218037,COc1cc(COc2ccc(-c3nn(C)cc3-c3ccncc3)cc2)nc2ccccc12,5.75
CHEMBL5944352,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)OC[C@H]3CCCN(C)C3)c3ccccc3)s2)cc1OC,
CHEMBL6030445,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)OC[C@@H]3CCN3C)c3ccccc3)s2)cc1OC,8.26
CHEMBL5760673,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)OC[C@@H]3CCCCN3C)c3ccccc3)s2)cc1OC,
CHEMBL5880600,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC3(C(=O)OCC4CCN(C)CC4)CCc4ccccc43)s2)cc1OC,
CHEMBL5810978,COc1cccc(C(NCc2ccc(C(=O)O[C@@H](Cc3c(Cl)c[n+]([O-])cc3Cl)c3ccc(OC)c(OC)c3)s2)C(=O)OCC2CCN(C)CC2)c1,8.26
CHEMBL377709,CC(C)NC(=O)N(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,10
CHEMBL206968,Cc1cc(C(=O)N(Cc2cccc(-c3cc(C(C)(C)C#N)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)no1,10
CHEMBL3403356,CCn1c(N[C@H]2CC[C@H](C(=O)OC)CC2)nc2ccsc2c1=O,
CHEMBL3403355,CCn1c(N[C@H]2CC[C@H](O)CC2)nc2ccsc2c1=O,4.62
CHEMBL3403360,CCn1c(NC(C)C)nc2c(-c3sc(C)nc3C)csc2c1=O,6.7
CHEMBL3315254,O=C(O)Cc1ccc(Nc2nc(-c3cccc(F)c3)nc(C3CC3)n2)cc1,5.84
CHEMBL3114936,CC(=O)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cc1,8
CHEMBL2385749,O=C(O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2S(=O)(=O)CCC3)cc1,6.82
CHEMBL4276935,Cc1cc(C)n(C(=O)c2ccc(-c3ccccc3Cl)o2)n1,4.28
CHEMBL4292859,Cc1cc(C)n(C(=O)c2ccc(-c3ccccc3)o2)n1,4.15
CHEMBL4159238,O=C(c1ccc(-c2ccc(Br)cc2)o1)N1CCCc2ccccc21,4.33
CHEMBL4167454,COc1ccc(-c2ccc(C(=O)N3CCc4ccccc4C3)o2)cc1,5.58
CHEMBL4171205,O=C(c1ccc(-c2ccccc2F)o1)N1CCc2ccccc2C1,4.34
CHEMBL3943903,CCCC1(C)C(=O)N(C2CCN(C(=O)CCl)CC2)N=C1c1ccc(OC)c(OC)c1,8.53
CHEMBL193240,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,9
CHEMBL467203,COC1=C(c2ccccc2)C(=O)C(OC)=C(c2ccccc2)C1=O,4.36
CHEMBL2337973,COc1ccc(C2=NN(CCCCOc3ccc(C4=NNC(=O)CC4)c(F)c3F)C(=O)C2(C)C)c2sc(C(F)(F)F)nc12,9.11
CHEMBL2337971,CCc1cc2c(C3=NN(CCCCOc4ccc(C5=NNC(=O)CC5C)cc4)C(=O)C3(C)C)ccc(OC)n2n1,9.22
CHEMBL3288011,Cc1cccc2nc(C(=O)N[C@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN6C[C@@H](C)N[C@@H](C)C6)cc5)c4)CC3)cn12,10.2
CHEMBL3288029,Cc1csc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)cc4CN4CCOCC4)c3)CC2)n1,10.6
CHEMBL2387140,CCC(C)(C)c1nn(CCO)c2c1N=C(c1ccc(-n3ccnc3C)cc1)CNC2=O,6.42
CHEMBL63,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,
CHEMBL3288030,Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)cc4CN4CCOCC4)c3)CC2)c1,
CHEMBL4079785,O=C1NCCc2nc(-c3ccccc3)cc(NCc3ccncc3)c21,7.6
CHEMBL3694410,CC(=O)CCCOc1nc(Oc2ccc3c(c2)COB3O)c(Cl)cc1C#N,9.1
CHEMBL3694412,N#Cc1cc(Cl)c(Oc2ccc3c(c2)COB3O)nc1OCCOC1CC1,8.89
CHEMBL4291461,CSc1ncc(C(=O)Nc2ccc(F)cc2)c(N2CCOCC2)n1,6.43
CHEMBL4292934,COc1ccc(NC(=O)c2cnc(SC)nc2N2CCN(CCO)CC2)cc1OC,6.05
CHEMBL4278796,COc1ccc(NC(=O)c2cnc(C(F)(F)F)nc2-c2ccc(OC)c(OC)c2)cc1OC,7.21
CHEMBL4294138,CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)Nc1ccc(C(C)C)cc1,
CHEMBL3114933,COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1Cl,7.15
CHEMBL3114930,COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cn1,6.85
CHEMBL3315264,CC(C)c1nc(Nc2ccc(F)cc2)nc(-c2ccc(Cl)s2)n1,5.05
CHEMBL3354166,CCn1c(NC2CCCC2)nc2c(C)csc2c1=O,5.42
CHEMBL3354169,C#Cc1csc2c(=O)n(CC)c(NC3CCCC3)nc12,5.52
CHEMBL3354173,CCn1c(NC2CCCC2)nc2c(CCc3cccnc3)csc2c1=O,5.96
CHEMBL3315252,O=C(O)Cc1ccc(Nc2nc(-c3ccc(Cl)cc3)nc(C3CC3)n2)cc1,5.42
CHEMBL3938524,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCC(C(=O)O)CC3)c12,7.77
CHEMBL4279255,Cc1cc(C)n(C(=O)c2ccc(-c3ccccc3F)o2)n1,4.34
CHEMBL144649,COc1ccc([C@H]2CCN3C(=O)NC[C@H]23)cc1OC1CCCC1,7.57
CHEMBL2385761,CN(C)C(=O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2S(=O)(=O)CCC3)cc1,7.48
CHEMBL5752791,COc1ccc(C(Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)OCC3CCN(C)CC3)c3ccccc3)s2)cc1OC1CCCC1,
CHEMBL5744293,COc1ccc(C(Cc2c(Cl)c[n+]([O-])cc2Cl)c2cc(CNC(C(=O)OCC34CCN(CC3)CC4)c3ccccc3)sc2C(=O)O)cc1OCC1CC1,
CHEMBL3938524,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCC(C(=O)O)CC3)c12,7.77
CHEMBL3644503,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n([C@@H]3CCN(S(C)(=O)=O)C3)c12,7.31
CHEMBL59003,COC(=O)N1C[C@@H](C(C)=O)[C@H](c2ccc(OC)c(OC3CCCC3)c2)C1,6.5
CHEMBL5890411,Cc1cc(-c2c(C(=O)N3CCC3)nc3cccnn23)cc(C)c1F,7.2
CHEMBL4077155,,
CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,
CHEMBL2172366,COc1cccc(-c2nc(N3CCC(C(=O)O)CC3)cc3cccnc23)c1,6.21
CHEMBL4216019,COc1cc2nc(NC(=O)c3ccc(OC(F)F)c(OCC4CC4)c3)sc2cc1OC,8.93
CHEMBL4283822,Cc1cc(C)n(C(=O)c2ccc(-c3c(F)cccc3F)o2)n1,4.84
CHEMBL63,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,5.7
CHEMBL4160331,O=C(c1ccc(-c2c(F)cccc2F)o1)N1CCCc2ccccc21,4.82
CHEMBL4167824,O=C(c1ccc(-c2ccc(F)cc2F)o1)N1CCCc2ccccc21,5.58
CHEMBL3354165,CCn1c(NC2CCCC2)nc2cc(C(=O)Nc3ccc(N4CCC(O)CC4)nc3)sc2c1=O,
CHEMBL3327327,O=C(Nc1c(Cl)c[n+]([O-])cc1Cl)c1ccc(OC(F)F)c(OCCCNC2CCOC2=O)c1,7.06
CHEMBL3360162,CCn1c(Nc2cccnc2)nc2ccsc2c1=O,
CHEMBL3360160,CCn1c(Nc2ccccc2F)nc2ccsc2c1=O,5.57
CHEMBL3287993,Cc1cccc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN(C)C)c3)CC2)n1,10.5
CHEMBL3288000,Cc1cccc(O)c1C(=O)N[C@H]1CC[C@@H](NC(=O)c2cc(F)cnc2Oc2cccc(-c3ccc(O)cc3CN3CCOCC3)c2)CC1,10.6
CHEMBL3288002,O=C(N[C@H]1CC[C@@H](NC(=O)c2nc3ccccc3[nH]c2=O)CC1)c1cc(F)cnc1Oc1cccc(-c2ccc(O)cc2CN2CCOCC2)c1,9.5
CHEMBL3288030,Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)cc4CN4CCOCC4)c3)CC2)c1,10.7
CHEMBL3288029,Cc1csc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)cc4CN4CCOCC4)c3)CC2)n1,
CHEMBL2326944,O=C1c2cccc3cccc(c23)C(=O)N1CCCC(=O)N(Cc1ccco1)C1CC1,4.8
CHEMBL5598430,Cn1c(=O)c2c(nc(S(C)(=O)=O)n2C)n(CC#Cc2cccc(NC(=O)CN3CCN(c4ccc5c(c4)C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)c2)c1=O,
CHEMBL3114949,COc1ccc(-c2nc3c(c(Nc4cc(F)c(CC(=O)O)cc4F)n2)S(=O)(=O)CCC3)cc1F,7.8
CHEMBL3114934,COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)S(=O)(=O)CCC3)cc1,7.36
CHEMBL3114932,COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)c(F)c1F,6.85
CHEMBL3114929,CC(=O)c1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1,7.47
CHEMBL3112613,COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1,7.96
CHEMBL2385756,CCCCNC(=O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2S(=O)(=O)CCC3)cc1,7.16
CHEMBL2069600,COc1ccc(C2=NNC(=O)CC2C)c2cc(C(F)(F)F)nn12,7.38
CHEMBL2425759,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C=O)nn12,8.01
CHEMBL3315261,CCc1nc(Nc2ccc(C(=O)O)cc2)nc(-c2ccc(Cl)s2)n1,6.58
CHEMBL3315258,O=C(O)Cc1ccc(CNc2nc(-c3cccc(Cl)c3)nc(C3CC3)n2)cc1,6.07
CHEMBL3315262,CCc1nc(Nc2ccc(F)cc2)nc(-c2ccc(Cl)s2)n1,5.86
CHEMBL2425753,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C3CC3)nn12,9.29
CHEMBL2425747,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2ccnn12,7.41
CHEMBL3822740,O=C(c1ccc(-c2cccc(F)c2)o1)n1cncn1,4.55
CHEMBL3747602,COc1cccc(Nc2c(C(N)=O)cnc3c(C)c(S(C)(=O)=O)nn23)c1,7.58
CHEMBL3957307,COc1ccc(C2=NN(C3CCN(C(=O)CN4C(=O)CCC4=O)CC3)C(=O)C2(C)C)cc1OCC1CC1,7.15
CHEMBL3984901,CCOc1cc(C2=NN(C3CCN(C(=O)CN4C(=O)CCC4=O)CC3)C(=O)C2(C)C)ccc1OC,7.65
CHEMBL4295242,COc1ccc(NC(=O)c2cnc(C(F)(F)F)nc2N2CCOCC2)cc1OC,7.17
CHEMBL3644495,CCn1c(=O)c2cnc3c(Cl)cccc3c2n(C2CCCC2)c1=O,4.77
CHEMBL2425748,COc1ccc(C(=O)Nc2c(Cl)c[n+]([O-])cc2Cl)c2ccnn12,8.57
CHEMBL2425826,CSc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,9.96
CHEMBL2425773,COc1ccc(C(O)c2ccncc2)c2cc(C(F)(F)F)nn12,4.99
CHEMBL2425763,COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,8.54
CHEMBL3403349,CCn1c(NC(C)C)nc2ccsc2c1=O,4.96
CHEMBL3403358,CCn1c(NC(C)C)nc2c(-c3cccnc3)csc2c1=O,6.28
CHEMBL275084,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,4.55
CHEMBL63,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,5.96
CHEMBL4292772,CCCCOc1nc2c(c(=O)n(C)c(=O)n2C)n1CCCC(=O)Nc1ccc(C(C)CC)cc1,
CHEMBL4287148,CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)Nc1ccc(Cl)cc1,
CHEMBL4280173,COc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)NCc1ccccc1Cl,
CHEMBL4284046,COc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)Nc1cccc(Cl)c1,
CHEMBL2442477,CC(C)(C)CNC(=O)Cc1ccc(Nc2nc(-c3ccoc3)ncc2C(N)=O)cc1,7.96
CHEMBL3354163,CCc1cc2nc(NC3CCCC3)n(CC)c(=O)c2s1,5.46
CHEMBL3354171,CCn1c(NC2CCCC2)nc2c(C#Cc3cccnc3)csc2c1=O,5.85
CHEMBL4072507,,
CHEMBL4082992,,
CHEMBL3315266,O=C(O)c1ccc(Nc2nc(-c3ccc(Cl)cc3)nc(C3CC3)n2)cc1,6.87
CHEMBL3628685,COc1ccc(CNC(=O)c2ccc(OC(F)F)c(OC3CCCC3)c2)cc1,6.01
CHEMBL193240,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,9.1
CHEMBL3644503,COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n([C@@H]3CCN(S(C)(=O)=O)C3)c12,7.31
CHEMBL2385752,O=C(O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2CS(=O)(=O)CC3)cc1,5.1
CHEMBL2385573,O=C(O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2SCCC3)cc1,7.54
CHEMBL2385559,O=C(O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2CSC3)cc1,7.54
CHEMBL3393194,COc1cc2nncc(-c3cnc(N4CCC(O)(c5cccnc5)CC4)c(C)c3)c2cc1OC,5.06
CHEMBL5896439,COc1ccc(-c2nc(C)c3ccn(-c4ccc(C(=O)O)cc4)c3n2)cc1Cl,
CHEMBL5896439,COc1ccc(-c2nc(C)c3ccn(-c4ccc(C(=O)O)cc4)c3n2)cc1Cl,
CHEMBL5836803,CCc1nc(-c2cccnc2OC)nc2c1ccn2-c1cccc(OC(=O)N(C)C)c1,
CHEMBL5799156,CCc1nc(-c2ccncc2)nc2c1ccn2-c1cccc(OC(=O)N(C)C)c1,
CHEMBL3287992,O=C(N[C@H]1CC[C@@H](NC(=O)c2cc(F)cnc2Oc2cccc(-c3ccc(O)cc3CN3CCOCC3)c2)CC1)c1csc(CO)n1,10.2
CHEMBL3288001,Cc1cccc(O)c1C(=O)N[C@H]1CC[C@@H](NC(=O)c2cc(F)cnc2Oc2cccc(-c3ccc(O)cc3CN3CCCOCC3)c2)CC1,10.5
CHEMBL3288006,CN(C)Cc1cc(O)ccc1-c1cccc(Oc2ncc(F)cc2C(=O)N[C@H]2CC[C@@H](NC(=O)c3cccc4[nH]cnc34)CC2)c1,10.3
CHEMBL3288022,Cc1cc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)c(O)c4)c3)CC2)nn1C,10.5
CHEMBL3288024,Cc1cc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)c(CN5C[C@@H](C)N[C@@H](C)C5)c4)c3)CC2)nn1C,10.7
CHEMBL4464755,COc1ccccc1NC(=O)C1Cc2cc(OC3CCCC3)c(OC)cc2C(c2ccccc2)=N1,6.66
CHEMBL4571089,COc1cc2c(cc1OC1CCCC1)CC(C(=O)Nc1ccccc1F)N=C2c1ccccc1,5.73
CHEMBL4529642,COc1cc2c(cc1OC1CCCC1)CC(C(=O)Nc1ccc(C)cc1)N=C2c1ccccc1,4.44
CHEMBL3288018,Cc1cccc2nc(C(=O)N[C@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN(C)C)cc5)c4)CC3)cn12,9.1
CHEMBL5884390,CCc1nc(-c2ccc(OC)c(F)c2)nc2c1CCN2c1cccc(OC(=O)N(C)C)c1,
CHEMBL401121,COc1ccc(-c2nc(C(=O)N3CCCC3)c(CN)o2)c2ccc(C(F)(F)F)nc12,7.77
CHEMBL248683,COc1ccc(-c2nc(CN)c(C(N)=O)o2)c2ccc(C(F)(F)F)nc12,7.12
CHEMBL400276,COc1ccc(-c2nc(C(=O)O)c(C)o2)c2ccc(C(F)(F)F)nc12,6.41
CHEMBL3403347,CCNc1nc2ccsc2c(=O)n1CC,
CHEMBL3360167,CCn1c(Nc2ccncc2F)nc2c(C(C)(C)O)csc2c1=O,7.25
CHEMBL371089,CC(C)NC(=O)/C(=C/c1cccc(-c2cc(C(C)C)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,9.52
CHEMBL5439180,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)O[C@H]3CN4CCC3CC4)c3ccccc3)c(OCC3CC3)c2)cc1OC,9
CHEMBL5404020,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(CO)(C(=O)O[C@H]3CN4CCC3CC4)c3ccccc3)c(OCC3CC3)c2)cc1OC,9.3
CHEMBL198732,Cc1noc(/C(=C\c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)n1,8.96
CHEMBL382545,CC(C)c1cc(-c2cccc(C(Cc3ccncc3)c3ccc(Cl)cc3)c2)c2ncccc2c1,8.19
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,7.15
