Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL4783529,O=C(c1nc2cccnc2n1-c1ccc(Cl)c(Cl)c1)N1CC(F)(F)C1,6.85
CHEMBL595549,CCn1nccc1NC1=C(C(N)=O)NNc2c(C)cc(S(=O)(=O)CC)cc21,9.5
CHEMBL462152,CS(=O)(=O)c1ccc2ncc(C(N)=O)c(N)c2c1,
CHEMBL473152,COc1cccc(Nc2c(-c3nnc(C)o3)cnc3ccc(S(C)(=O)=O)cc23)c1,4.7
CHEMBL193240,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,9.4
CHEMBL4474581,COc1ccc(CN[C@@H](Cc2ccccc2)C(=O)O)cc1-c1cccc(Cl)c1,
CHEMBL4459599,COc1ccc(CN2CCOCC2)cc1-c1cccc(F)c1,5.43
CHEMBL4468688,COc1ccc(CNc2ccccn2)cc1-c1cccc(Cl)c1,
CHEMBL4581495,COc1ccc(CNc2ccc(Cl)cc2)cc1-c1cccc(Cl)c1,
CHEMBL1099322,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OCCCCCCCC(=O)O,8.7
CHEMBL1096812,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OC1CCCC1,8.3
CHEMBL2172372,COc1cccc(-c2nc([C@H]3CC[C@H](C(=O)O)CC3)cc3cccnc23)c1,6.81
CHEMBL2172371,CSc1cccc(-c2nc(N3CCC(C(=O)O)CC3)cc3cccnc23)c1,5.88
CHEMBL3903408,CCn1nc(-c2cccc(-c3cc(OCC4CC4)cc(C(=O)NCCN4CCCCC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,9.82
CHEMBL4561692,COc1ncc(-c2cc3c(c(NC(=O)CN4CCOCC4)c2)COC3)cc1NS(C)(=O)=O,
CHEMBL3926566,COc1ccc(C2=NN(CCCO)C(=O)CCC2)cc1OC,5.91
CHEMBL3969575,COc1ccc(C2=NN(Cc3ccc(S(C)(=O)=O)cc3)C(=O)CCC2)cc1OC,5.89
CHEMBL3932749,COc1ccc(C2=NNC(=O)CC(C)(C)C2)cc1OC,5.45
CHEMBL3955694,CCn1nc(-c2cccc(-c3cc(C(=O)NCCN4CCOCC4)cc(C(=O)NC4CC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,10.05
CHEMBL3922464,CCn1nc(-c2cccc(-c3cc(C(=O)NCCN4CCCCC4)cc(C(=O)NC4CC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,10.22
CHEMBL3898745,CCn1nc(-c2cccc(Br)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,8.77
CHEMBL346083,COc1ccc(C(C)Cn2ccnc2O)cc1OC1CC2CCC1C2,7.68
CHEMBL157812,CC(Cn1ccnc1O)c1ccc(OC(F)F)c(OC2CCCC2)c1,
CHEMBL346946,COc1ccc(C(C)(F)Cn2ccnc2O)cc1OC1CCOC1,6.49
CHEMBL270597,COc1ccc(/C=C2\SC(=N)NC2=O)cc1OC1CCCC1,6.51
CHEMBL403367,CCN1C(=O)/C(=C/c2ccc(O)c(OC)c2)SC1=S,6.13
CHEMBL1830639,CC1(C)Cc2c(c(N3CCOCC3)nc3oc4c(N(CCO)CCN5CCOCC5)ncnc4c23)CO1,7.1
CHEMBL1830643,CC(C)Nc1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1CCC(C)(C)C2,9.7
CHEMBL401345,COc1cc(OC)nc(N2CCN(C(=O)c3nc(-c4ccc(OC)c5nc(C(F)(F)F)ccc45)oc3CN)CC2)n1,8.66
CHEMBL251712,COc1ccc(-c2nc(CN)c(C)o2)c2ccc(C(F)(F)F)nc12,7.1
CHEMBL251299,COc1ccc(-c2nc(CO)c(C)o2)c2ccc(C(F)(F)F)nc12,6.33
CHEMBL3354168,C=Cc1csc2c(=O)n(CC)c(NC3CCCC3)nc12,5.43
CHEMBL3354175,CCn1c(NC2CCCC2)nc2c(-c3ccccc3)csc2c1=O,6.14
CHEMBL3327318,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCCCNC(CCO)C(=O)O)c1,6.13
CHEMBL3327324,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCCCCNC(CCO)C(=O)O)c1,6.75
CHEMBL6055373,CCc1c(C)nc(-c2ccc(Cl)s2)nc1NCc1ccc(B(O)O)cc1,
CHEMBL5825429,CCc1c(C)nc(-c2ccc(Cl)s2)nc1Nc1ccc(CS(C)(=O)=O)cc1,
CHEMBL5936871,OC[C@H]1CC[C@H](Nc2cc(-c3cccc(Cl)c3)nc3c2CCC3)CC1,
CHEMBL5934003,NC(=O)Cc1ccc(Nc2cc(-c3cccc(Cl)c3)nc3c2CCC3)nc1,
CHEMBL5850883,COC(=O)Cc1cccc(Nc2cc(-c3cccc(Cl)c3)nc3c2CCC3)c1,
CHEMBL6016212,CC(CO)Oc1ccc(Nc2cc(-c3cccc(Cl)c3)nc3c2CCC3)cc1,
CHEMBL5975189,CC(C)(C(=O)O)c1ccc(Cc2cc(-c3cccc(Cl)c3)nc3c2CCC3)cc1,
CHEMBL1258921,Cc1nc2sc3c(NCCN4CCOCC4)ncnc3c2c2c1CCC(C)(C)C2,7.43
